doc_title,para_num,term_str,n
ASHPUTTEL,2,built,1
ASHPUTTEL,2,came,1
ASHPUTTEL,2,child,1
ASHPUTTEL,2,clothes,2
ASHPUTTEL,2,come,1
ASHPUTTEL,2,copse,1
ASHPUTTEL,2,cried,3
ASHPUTTEL,2,daughter,2
ASHPUTTEL,2,daughters,1
ASHPUTTEL,2,day,1
ASHPUTTEL,2,dear,1
ASHPUTTEL,2,diamonds,2
ASHPUTTEL,2,every,1
ASHPUTTEL,2,face,1
ASHPUTTEL,2,fair,1
ASHPUTTEL,2,father,2
ASHPUTTEL,2,fine,3
ASHPUTTEL,2,first,3
ASHPUTTEL,2,for,3
ASHPUTTEL,2,gave,1
ASHPUTTEL,2,going,1
ASHPUTTEL,2,got,1
ASHPUTTEL,2,grave,1
ASHPUTTEL,2,green,1
ASHPUTTEL,2,grew,1
ASHPUTTEL,2,had,1
ASHPUTTEL,2,happened,1
ASHPUTTEL,2,hat,2
ASHPUTTEL,2,have,1
ASHPUTTEL,2,hazel,1
ASHPUTTEL,2,he,7
ASHPUTTEL,2,her,5
ASHPUTTEL,2,him,1
ASHPUTTEL,2,his,5
ASHPUTTEL,2,home,2
ASHPUTTEL,2,homewards,1
ASHPUTTEL,2,it,9
ASHPUTTEL,2,its,1
ASHPUTTEL,2,little,1
ASHPUTTEL,2,mother,1
ASHPUTTEL,2,much,1
ASHPUTTEL,2,nest,1
ASHPUTTEL,2,now,1
ASHPUTTEL,2,off,2
ASHPUTTEL,2,on,1
ASHPUTTEL,2,once,1
ASHPUTTEL,2,over,1
ASHPUTTEL,2,own,1
ASHPUTTEL,2,pearls,2
ASHPUTTEL,2,planted,1
ASHPUTTEL,2,pushed,1
ASHPUTTEL,2,rode,1
ASHPUTTEL,2,s,2
ASHPUTTEL,2,said,3
ASHPUTTEL,2,second,1
ASHPUTTEL,2,she,4
ASHPUTTEL,2,should,1
ASHPUTTEL,2,so,2
ASHPUTTEL,2,soon,1
ASHPUTTEL,2,talked,1
ASHPUTTEL,2,tears,1
ASHPUTTEL,2,that,3
ASHPUTTEL,2,the,8
ASHPUTTEL,2,them,1
ASHPUTTEL,2,then,2
ASHPUTTEL,2,there,2
ASHPUTTEL,2,they,1
ASHPUTTEL,2,three,1
ASHPUTTEL,2,through,1
ASHPUTTEL,2,times,1
ASHPUTTEL,2,to,6
ASHPUTTEL,2,took,1
ASHPUTTEL,2,tree,2
ASHPUTTEL,2,turn,1
ASHPUTTEL,2,twig,2
ASHPUTTEL,2,two,1
ASHPUTTEL,2,upon,1
ASHPUTTEL,2,was,2
ASHPUTTEL,2,watched,1
ASHPUTTEL,2,watered,1
ASHPUTTEL,2,way,1
ASHPUTTEL,2,went,2
ASHPUTTEL,2,what,2
ASHPUTTEL,2,whatever,1
ASHPUTTEL,2,when,2
ASHPUTTEL,2,wife,1
ASHPUTTEL,2,will,1
ASHPUTTEL,2,wished,1
ASHPUTTEL,2,with,2
ASHPUTTEL,2,you,2
