term_str,n,p,i,n_chars,max_pos_group,max_pos,porter_stem,stop,df,idf,tfidf_mean,dfidf,dp,di,dh,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust,sentiment
is,465,0.0046018644973576,7.763565780862847,2,VB,VBZ,is,1,58,0.0962153152593029,0.0004396581847169,5.580488285039572,0.935483870967742,0.0962153152593032,0.0900078755651546,,,,,,,,,,,
came,460,0.0045523820834075,7.779162635913866,4,VB,VBD,came,0,60,0.0473057147783568,0.000211840831776,2.838342886701409,0.967741935483871,0.0473057147783565,0.0457797239790546,,,,,,,,,,,
me,455,0.0045028996694574,7.794929951772183,2,PR,PRP,me,1,55,0.1728365968622155,0.0007496328894294,9.506012827421854,0.8870967741935484,0.1728365968622155,0.1533227875390621,,,,,,,,,,,
went,441,0.0043643489103972,7.84001784130072,4,VB,VBD,went,0,58,0.0962153152593029,0.0003847600098248,5.580488285039572,0.935483870967742,0.0962153152593032,0.0900078755651546,,,,,,,,,,,
what,426,0.0042159016685469,7.889943066632403,4,WP,WP,what,1,61,0.0234589728239889,0.000106613209206,1.4309973422633264,0.9838709677419356,0.0234589728239889,0.0230806022945697,,,,,,,,,,,
one,409,0.0040476614611167,7.948695653916492,3,CD,CD,one,0,59,0.071553261025034,0.0002940105555581,4.22164240047701,0.9516129032258064,0.0715532610250337,0.0680910064593063,,,,,,,,,,,
up,401,0.0039684895987965,7.977194260403321,2,RP,RP,up,1,59,0.071553261025034,0.0002826014683307,4.22164240047701,0.9516129032258064,0.0715532610250337,0.0680910064593063,,,,,,,,,,,
there,395,0.0039091107020564,7.998943843793776,5,EX,EX,there,1,61,0.0234589728239889,9.275369826868476e-05,1.4309973422633264,0.9838709677419356,0.0234589728239889,0.0230806022945697,,,,,,,,,,,
little,393,0.0038893177364764,8.006267184599634,6,JJ,JJ,littl,0,53,0.226275855823676,0.0008316936405779,11.992620358654827,0.8548387096774194,0.226275855823676,0.1934293606234649,,,,,,,,,,,
them,377,0.0037309740118361,8.066231973589577,4,PR,PRP,them,1,56,0.1468413883292711,0.0005508820389812,8.223117746439186,0.9032258064516128,0.1468413883292711,0.1326309313941804,,,,,,,,,,,
my,371,0.003671595115096,8.089377310237438,2,PR,PRP$,my,1,55,0.1728365968622155,0.0006165812042205,9.506012827421854,0.8870967741935484,0.1728365968622155,0.1533227875390621,,,,,,,,,,,
s,361,0.0035726302871959,8.12879765997107,1,NN,NN,s,1,57,0.1213062962221336,0.0004122395934069,6.914458884661615,0.9193548387096774,0.1213062962221336,0.1115235303977679,,,,,,,,,,,
king,361,0.0035726302871959,8.12879765997107,4,NN,NN,king,0,29,1.096215315259303,0.0034740312020648,31.79024414251979,0.4677419354838709,1.0962153152593033,0.5127458732664483,,,,,,,,,,,
were,342,0.0033845971141856,8.206800171972343,4,VB,VBD,were,1,57,0.1213062962221336,0.0004166984508344,6.914458884661615,0.9193548387096774,0.1213062962221336,0.1115235303977679,,,,,,,,,,,
if,328,0.0032460463551253,8.267100682240157,2,IN,IN,if,1,57,0.1213062962221336,0.0003782389690307,6.914458884661615,0.9193548387096774,0.1213062962221336,0.1115235303977679,,,,,,,,,,,
this,327,0.0032361498723353,8.27150586136016,4,DT,DT,thi,1,56,0.1468413883292711,0.0004595934587338,8.223117746439186,0.9032258064516128,0.1468413883292711,0.1326309313941804,,,,,,,,,,,
down,324,0.0032064604239653,8.284802683973616,4,RP,RP,down,1,56,0.1468413883292711,0.0004650112221416,8.223117746439186,0.9032258064516128,0.1468413883292711,0.1326309313941804,,,,,,,,,,,
who,317,0.0031371850444352,8.316313656718833,3,WP,WP,who,1,57,0.1213062962221336,0.0003939600235728,6.914458884661615,0.9193548387096774,0.1213062962221336,0.1115235303977679,,,,,,,,,,,
no,310,0.003067909664905,8.348528281584004,2,DT,DT,no,1,59,0.071553261025034,0.0002184244249402,4.22164240047701,0.9516129032258064,0.0715532610250337,0.0680910064593063,,,,,,,,,,,
by,291,0.0028798764918947,8.439777343949958,2,IN,IN,by,1,58,0.0962153152593029,0.0002554817922367,5.580488285039572,0.935483870967742,0.0962153152593032,0.0900078755651546,,,,,,,,,,,
