line_num,line_str,doc_id
254,have my daughter unless in eight days you dig away the hill that stops,1
255,the view from my window.’ Now this hill was so big that the whole world,1
256,"could not take it away: and when he had worked for seven days, and had",1
257,"done very little, the fox came and said. ‘Lie down and go to sleep; I",1
258,will work for you.’ And in the morning he awoke and the hill was gone;,1
259,"so he went merrily to the king, and told him that now that it was",1
260,removed he must give him the princess.,1
261,,1
262,"Then the king was obliged to keep his word, and away went the young man",1
263,"and the princess; and the fox came and said to him, ‘We will have all",1
264,"three, the princess, the horse, and the bird.’ ‘Ah!’ said the young man,",1
265,"‘that would be a great thing, but how can you contrive it?’",1
266,,1
267,"‘If you will only listen,’ said the fox, ‘it can be done. When you come",1
268,"to the king, and he asks for the beautiful princess, you must say, “Here",1
269,she is!” Then he will be very joyful; and you will mount the golden,1
270,"horse that they are to give you, and put out your hand to take leave of",1
271,them; but shake hands with the princess last. Then lift her quickly on,1
272,"to the horse behind you; clap your spurs to his side, and gallop away as",1
273,fast as you can.’,1
274,,1
275,"All went right: then the fox said, ‘When you come to the castle where",1
276,"the bird is, I will stay with the princess at the door, and you will",1
277,ride in and speak to the king; and when he sees that it is the right,1
278,"horse, he will bring out the bird; but you must sit still, and say that",1
279,"you want to look at it, to see whether it is the true golden bird; and",1
280,"when you get it into your hand, ride away.’",1
281,,1
282,"This, too, happened as the fox said; they carried off the bird, the",1
283,"princess mounted again, and they rode on to a great wood. Then the fox",1
284,"came, and said, ‘Pray kill me, and cut off my head and my feet.’ But the",1
285,"young man refused to do it: so the fox said, ‘I will at any rate give",1
286,"you good counsel: beware of two things; ransom no one from the gallows,",1
287,"and sit down by the side of no river.’ Then away he went. ‘Well,’",1
288,"thought the young man, ‘it is no hard matter to keep that advice.’",1
289,,1
290,"He rode on with the princess, till at last he came to the village where",1
291,he had left his two brothers. And there he heard a great noise and,1
292,"uproar; and when he asked what was the matter, the people said, ‘Two men",1
293,"are going to be hanged.’ As he came nearer, he saw that the two men were",1
294,"his brothers, who had turned robbers; so he said, ‘Cannot they in any",1
295,"way be saved?’ But the people said ‘No,’ unless he would bestow all his",1
296,money upon the rascals and buy their liberty. Then he did not stay to,1
297,"think about the matter, but paid what was asked, and his brothers were",1
298,"given up, and went on with him towards their home.",1
299,,1
300,"And as they came to the wood where the fox first met them, it was so",1
301,"cool and pleasant that the two brothers said, ‘Let us sit down by the",1
302,"side of the river, and rest a while, to eat and drink.’ So he said,",1
303,"‘Yes,’ and forgot the fox’s counsel, and sat down on the side of the",1
304,"river; and while he suspected nothing, they came behind, and threw him",1
305,"down the bank, and took the princess, the horse, and the bird, and went",1
306,"home to the king their master, and said. ‘All this have we won by our",1
307,labour.’ Then there was great rejoicing made; but the horse would not,1
308,"eat, the bird would not sing, and the princess wept.",1
309,,1
310,The youngest son fell to the bottom of the river’s bed: luckily it was,1
311,"nearly dry, but his bones were almost broken, and the bank was so steep",1
312,"that he could find no way to get out. Then the old fox came once more,",1
313,and scolded him for not following his advice; otherwise no evil would,1
314,"have befallen him: ‘Yet,’ said he, ‘I cannot leave you here, so lay hold",1
315,"of my tail and hold fast.’ Then he pulled him out of the river, and said",1
316,"to him, as he got upon the bank, ‘Your brothers have set watch to kill",1
317,"you, if they find you in the kingdom.’ So he dressed himself as a poor",1
318,"man, and came secretly to the king’s court, and was scarcely within the",1
319,"doors when the horse began to eat, and the bird to sing, and the princess",1
320,"left off weeping. Then he went to the king, and told him all his",1
321,"brothers’ roguery; and they were seized and punished, and he had the",1
322,princess given to him again; and after the king’s death he was heir to,1
323,his kingdom.,1
324,,1
325,"A long while after, he went to walk one day in the wood, and the old fox",1
326,"met him, and besought him with tears in his eyes to kill him, and cut",1
327,"off his head and feet. And at last he did so, and in a moment the",1
328,"fox was changed into a man, and turned out to be the brother of the",1
329,"princess, who had been lost a great many many years.",1
330,,1
331,,1
332,,1
333,,1
335,,2
336,,2
337,Some men are born to good luck: all they do or try to do comes,2
338,right--all that falls to them is so much gain--all their geese are,2
339,"swans--all their cards are trumps--toss them which way you will, they",2
340,"will always, like poor puss, alight upon their legs, and only move on so",2
341,much the faster. The world may very likely not always think of them as,2
342,"they think of themselves, but what care they for the world? what can it",2
343,know about the matter?,2
344,,2
345,One of these lucky beings was neighbour Hans. Seven long years he had,2
346,"worked hard for his master. At last he said, ‘Master, my time is up; I",2
347,must go home and see my poor mother once more: so pray pay me my wages,2
348,"and let me go.’ And the master said, ‘You have been a faithful and good",2
349,"servant, Hans, so your pay shall be handsome.’ Then he gave him a lump",2
350,of silver as big as his head.,2
351,,2
352,"Hans took out his pocket-handkerchief, put the piece of silver into it,",2
353,"threw it over his shoulder, and jogged off on his road homewards. As he",2
354,"went lazily on, dragging one foot after another, a man came in sight,",2
355,"trotting gaily along on a capital horse. ‘Ah!’ said Hans aloud, ‘what a",2
356,fine thing it is to ride on horseback! There he sits as easy and happy,2
357,"as if he was at home, in the chair by his fireside; he trips against no",2
358,"stones, saves shoe-leather, and gets on he hardly knows how.’ Hans did",2
359,"not speak so softly but the horseman heard it all, and said, ‘Well,",2
360,"friend, why do you go on foot then?’ ‘Ah!’ said he, ‘I have this load to",2
