term_str,PC0,PC1,PC2,PC3,PC4
king,-0.054915638503178536,-0.06713725609889423,0.05245707516816062,-0.024711782653905473,-0.02682211006603109
man,-0.010365641962117728,-0.0023072361434104474,-0.004563628307558985,-0.0031203977418440693,0.0034674727369358865
old,0.001095815608444813,0.003783543492755771,0.005072150468967982,-0.0028712661766289666,0.0012103759098006344
we,-0.001010534378734445,0.010684416456702314,0.003220990565814895,-0.0032240680364601297,-0.0008704143149200185
upon,-0.0030116342893473503,-0.0015525153238794027,-0.004637082075867165,0.009472642950577304,-0.0009080745784914424
father,-0.01830318145858223,-0.005424551632009494,0.00528313038432153,0.0022294429489702733,0.005651068614142651
himself,-0.0016929705729399995,0.00010536087447302526,-0.001250726089899914,0.0029883408016911205,-0.0012076994250152318
shall,-0.004417604970363969,-0.00018375493272972763,-3.544022481935261e-05,-0.0014713375904561806,-0.0036646802770829864
take,-0.0018629201196588084,0.0004945049133363495,0.0009615036704807538,0.00039321972730263374,-0.0033908988708503136
cried,-0.0002512352416929077,0.004389685533616812,-0.0012721392782195128,-0.0004095141144789388,-0.0030826118853487664
mother,-0.00422163510398763,0.028888716325492687,0.021656414895872264,0.008065193725863232,-0.0018483122960801
great,-0.0030714878003652,-0.0004366099501532695,0.0005849379242757359,-0.0004948414296296253,-0.004693993868941852
am,-0.001845966319909924,-0.0011126218303142167,-0.0012856685454760556,-0.0004942393613621318,-0.004050296031570898
wife,-0.006692297954388859,0.004531360529920136,-0.006580201668560455,-0.0007176098554841443,-0.014737076564455928
give,-0.002688028138454266,-0.0022660347443160637,-0.003529793102409236,0.0022835919084343236,-0.0006940117855626839
over,-0.0026656346862131974,-0.00010546068198448379,0.0013098568464694892,-0.0003636754653107634,-0.0015939116655604162
two,-0.004602953519958853,0.0013007439084533256,-0.0028039210900360793,-0.001391226309358316,0.006525069335410877
more,-0.0015688081545179439,-6.905436008742158e-05,-0.0015317126557404196,-0.0010691125852041383,-0.002508184662397262
put,-0.004521152498860735,-0.003316189013810449,0.0017026325627057294,0.003031945577490803,-0.0033206317921591435
door,0.0005966867493534294,0.0017106879341810518,0.0026654726646638495,0.006371333432090911,-0.0016403187214973308
has,0.002656513741239817,0.0027332340066891885,0.0012340597727058978,-0.0010411383902680703,-0.0017387362435855582
fell,-0.003293482398035966,-0.0008774194759003523,-0.00046867172316319397,-0.0022981181062675386,-0.0014852618089378927
asked,-0.0041282450409601225,-0.003040139614784144,-0.00026324630522810014,-0.002230989907806451,-0.00015999496400827848
still,-0.0030256966258331917,0.002648201401654474,0.0018419471934728081,-0.003177949238582882,0.0010185922171534315
or,-0.0017318721387360907,-0.0009225296286735159,-0.001231071271663573,-0.0010653068849770199,0.0004837900400683348
till,-0.00235859921834914,-0.0038307900358669723,-0.002742115824486638,0.008021030459723053,-0.0019122210726983573
like,-0.0023869824725537537,0.000504844867864126,0.002717017150546293,-0.0014146083080598193,-0.0020202633454182127
beautiful,-0.010285988533773448,-0.007479643369125983,0.006791951467973188,-0.0030667077274218694,0.0007385431590477187
nothing,-0.0030879167418108996,0.0006217012294515691,2.2425191059548475e-05,-0.0022309524808185265,0.0007094227959610302
get,-0.000198206886604673,0.0034852058077667115,-0.00039408685890145737,0.0019933479268408358,-0.0008354483333548937
however,-0.001964870168436702,0.0013993950701159826,0.0016725248719074678,-0.0022364355489641555,-3.044242889990908e-05
found,-0.005155652455873958,0.0012386460443723265,-0.0013310924656065681,0.004386012544161685,0.004142540267642093
ran,-0.0006527398448723357,0.005883482391595386,-0.0035904592095205214,0.00320139807105709,-0.00429492388523523
made,-0.003146918755942874,0.0013665152852580585,0.00147864331518804,-0.0007209506448560096,-0.0013145409774560067
bird,0.005062133511304182,-0.0005871827212526622,-0.010082449187085939,-0.012617029004109622,0.008955222894436145
head,-0.00039564200707377145,0.0017580691044912266,-0.00196342105673952,0.0026357713970739404,-0.005707295485121135
set,-0.0031121602724885396,-0.0021141681195886797,-0.0031006293879577854,0.0039444559064734696,0.0026226189347491264
son,-0.014941034341261487,-0.02158593400154749,0.00953536389015488,-0.012958224747186614,-0.002853730679054749
answered,-0.0007173060859742786,0.0030780763561836905,-0.004289044542564594,-0.004163099527101901,-0.0026194453751528022
looked,-0.003127452148771798,-0.0007111834250349944,-0.001684033847184228,-4.4704727949532045e-05,0.00028466174158787376
heard,-0.0023267830008356287,-0.0011418403564557142,0.001702518566465055,-0.0013570619717594614,0.00037286543525908176
got,-0.002820220874496133,0.0021197464028395036,-0.0003140989363587529,-0.0005127627254189961,-0.0032200812794292355
water,-0.00422720100346233,-0.000795862899953155,0.0017696722685024743,-0.0008317375132978182,0.004273156336389177
gave,-0.0039802424655403495,0.0011001376297073897,-0.0026283494245055673,0.0035944980397742804,-0.001425679999652707
house,0.0023736942667771997,0.008155209548194549,-0.0005415853396894648,-0.001786045479698955,-0.0050784977361071635
too,-0.002632720876557884,-0.0006096110616071357,-0.0013804660529150932,0.0004673698990317782,-0.0006953709788231301
here,-0.0010488448112674332,0.0030512196730459362,0.0001222274422025371,0.000667249016193011,-0.0015063473429450297
than,-0.0017122264355964574,-0.0006084456111327893,-0.0027800743223423538,0.003046267076712138,-0.002740251133806767
princess,-0.018985683689700092,-0.043447143075475675,0.011533019731715105,0.03671542375499174,-0.01090759519982012
never,-0.0025647955713016183,0.0008749742895890035,0.0031026870386538364,-0.0017231739355307444,-0.00037747725074518414
told,-0.0029826978472986686,-0.0007294231550895717,-0.0013919847222992824,0.003246219637338311,-0.00203099278376227
morning,-0.00310509067760666,0.0016721721557370517,0.001238177780695953,-0.00033832141682673376,0.0009397279044164486
first,-0.0023981276361160135,0.0003045603458971403,-0.003166528350985147,0.0001712537732765249,0.0005373977353379996
woman,-0.01080713684780527,0.02442379858623284,0.002788722258864076,-0.021386578595728553,0.002390374249720666
night,-0.005645612327089254,-0.0013768087719019267,0.0017988090484087765,0.0003862646439289463,0.001626014093853814
much,-0.0011228239362654395,-0.00021825754143993756,-0.0013494708449714554,0.0018904165623802878,-0.00014628542364589705
together,-0.001503061975175398,0.0014805023721350188,-0.0035961197373221413,-0.0009961485613108815,0.002433019913849908
three,-0.008033600843496087,-0.0021502815449907136,-7.484589987144328e-05,-0.00033560785904486907,0.006868334507167674
called,-0.0024030132212112237,0.0033233371234164272,0.0036864103424632893,0.00178552452059962,-0.0019279821903983333
daughter,-0.01391451320681475,-0.008327912774407458,0.008998125707637939,-0.008432016636043259,-0.000741486966241469
eat,0.0016561681056442637,0.002639109308169235,-0.0052368616194771195,-0.0025751395644321765,-0.0009936262219529496
brought,-0.0038734983998820376,-0.0027275912578635948,0.0029198826855837082,-0.0012722747703383204,-0.000596690355182798
herself,-0.0029305090716233704,0.0014514457544357996,0.00380862361222527,-0.0015672459716567881,-0.0022604002663817622
know,-0.001422272584989946,0.0002565659349841519,-0.0022985840213886185,-0.0005219243978259157,0.001186517553182381
poor,-0.0006522029155173804,0.0025013537924772743,-0.002261191104740537,0.004216352541259894,0.0004952606429663516
just,-0.0012997878192843413,0.0035601184204425997,1.990599773297637e-05,-0.004275176235114227,-0.001138655886634655
gold,-0.005313913577353258,0.0011864956480180215,0.0008012171051573816,-0.0012688175828761807,-1.603664521362521e-06
golden,-0.007645001645423227,-0.023267724671946287,0.012855615986846203,0.0003438958404456092,-0.008274502507713057
quite,0.0006260526749673188,0.001372565519822741,-8.778426958916513e-05,-0.0017936362499009551,-0.0011354730128644024
horse,0.015749763371581686,-0.023484928877544865,-0.0010128009192874605,0.021211045300874493,-0.032564197040073434
tree,-0.002666007773195169,0.0014370186389070327,0.005698343616941626,-7.505441423689047e-05,0.0062357302538134625
might,-0.0028086274610770214,0.0015015589114308755,-0.0010447062153711125,-0.0005718354200438584,0.00044455379572836946
round,-0.006218075792982264,-5.687076383106676e-05,-0.0002356202623825256,-0.0026407883670463523,0.003925875116394432
forest,-0.004706984994399259,0.012172447591543662,0.022002136256689876,-0.02377808509003896,0.015954260009902556
next,-0.00577379402592865,-0.0009600268499735304,4.465199210598281e-05,0.001045283533994387,-0.0007511765510719123
