doc_title,PC0,PC1,PC2,PC3,PC4
ASHPUTTEL,-0.1495695260249457,-0.11807997730138126,0.08259435030355604,0.06719759830082192,-0.1980491578161225
BRIAR ROSE,-0.22536441066008644,-0.24029284881014515,0.1942519578386396,-0.030453460749583675,-0.021942225564284188
CAT AND MOUSE IN PARTNERSHIP,0.29842306561427406,0.08587676554677623,-0.2030088484725909,-0.17647858478794498,-0.02448500061186646
CAT-SKIN,-0.2577138231481271,-0.27287040642301447,0.2698881824847704,-0.1614897165600949,-0.16543501965552024
CLEVER ELSIE,0.007529018276604965,0.15736312210249614,-0.1764135557767312,-0.1574749869762996,-0.053895825402199816
CLEVER GRETEL,0.021874729327348068,0.16397029943922461,-0.2712875607462664,-0.060848181098029495,-0.0653426978131287
CLEVER HANS,0.02227458793393377,0.15963592515438055,-0.03524845679710292,0.036522422026443783,-0.07109301852819579
DOCTOR KNOWALL,0.001226068554368325,0.0847390336622402,-0.27291950677766585,-0.039475552109172585,-0.06714801811001408
FREDERICK AND CATHERINE,-0.017715309116505408,0.16826696021127172,-0.2538349108978441,0.027858161663940402,-0.17713741215696402
FUNDEVOGEL,-0.030006193364075662,0.18391876865002435,0.21219205487790657,-0.19319518007893885,0.20412388393858627
HANS IN LUCK,6.267215930593249e-05,0.08829114178799757,-0.18555372463355058,0.21279284011936236,-0.17725213338373966
HANSEL AND GRETEL,-0.05060441450249788,0.2967039063261561,0.1761250082308292,-0.19951609334014755,0.21651766949911583
IRON HANS,-0.18839654553869414,-0.15891189824822224,0.2247206614650171,-0.2824397868535887,-0.12487319619714983
JORINDA AND JORINDEL,-0.05178924760229295,0.0022213046786855287,-0.12382571024859491,0.03238005554155403,0.16287371906417908
KING GRISLY-BEARD,-0.22916102174540495,-0.24529196592671962,0.11799936147730096,-0.022627869706800353,-0.22098564302285792
LILY AND THE LION,-0.18708586039058833,-0.16804325137542928,-0.004147810189513226,0.309681402493721,-0.03730237725428965
MOTHER HOLLE,0.07607589503578334,0.47225902357419647,0.3107635572015341,0.16318174233322086,-0.1536543804519125
OLD SULTAN,0.2658373341380246,0.4527132087074666,0.21583540569510587,0.25075897244687845,-0.23532951679172756
RAPUNZEL,-0.13400300108224367,-0.0713780877555246,0.10560326748769351,-0.279244821717232,-0.12749481858925266
RUMPELSTILTSKIN,-0.04408996921654693,0.040872407396758695,-0.11800207603739324,-0.12556620226977566,0.19734452463662472
SNOW-WHITE AND ROSE-RED,-0.030864265464528515,0.2162890149433801,0.25013859640009534,0.039995695944274434,0.4079576215602175
SNOWDROP,-0.14930967963909164,-0.03455489078647747,0.025650801871103406,0.0915458294621465,0.0890155638900571
SWEETHEART ROLAND,-0.08277193745634838,0.20515918895776158,-0.009375363147488725,-0.14232689099214038,-0.027139758445911995
THE ADVENTURES OF CHANTICLEER AND PARTLET,0.3388853281702255,-0.06893435510453741,-0.026631237428318903,-0.02857147022213456,-0.08417642687214905
THE BLUE LIGHT,-0.16009374072665283,-0.07192339123074769,0.06980158809103738,-0.0637356616651467,0.00964025211277995
THE DOG AND THE SPARROW,0.01435431461346484,0.05062160054583227,-0.26205485235545123,0.17842241911277473,-0.2176617919017919
THE ELVES AND THE SHOEMAKER,-0.031483019602410255,0.06829597718231364,-0.16656013972274544,0.02758013310166815,-0.056613307388867426
THE FISHERMAN AND HIS WIFE,-0.14734468054241837,-0.06900321129953457,-0.04261633884072583,0.060504813936742154,-0.10871654599221355
THE FOUR CLEVER BROTHERS,-0.12225522645379465,-0.1153513477909656,-0.09317979434788135,0.15308572165702622,0.252112465159714
THE FOX AND THE CAT,0.7389215887758094,-0.28238674130297803,-0.04332211975215843,-0.0971383891007923,0.07731075971314887
THE FOX AND THE HORSE,0.49115610211198035,-0.2637611974853917,-0.05481995467314909,0.08495649583411206,-0.11368486013742218
THE FROG-PRINCE,-0.09439196320480721,-0.20082804562392875,0.011039590786201856,0.30665590653455477,-0.11421368993114603
THE GOLDEN BIRD,0.3829263506153069,-0.4478679022622929,0.08376342810856939,0.07764754862666724,0.08263780416516912
THE GOLDEN GOOSE,-0.1324218428736415,-0.008850225079982899,0.006072365450583376,-0.06699241673396521,0.0831749992404263
THE GOOSE-GIRL,-0.1373496795084475,-0.19945995602957708,0.060080928149262545,0.20728553068468022,-0.3298222401189369
THE JUNIPER-TREE,-0.06940623327296146,0.08639672582637356,-0.04258974357777356,-0.13118017506981652,0.09415106653293558
THE KING OF THE GOLDEN MOUNTAIN,-0.2019476522327818,-0.15609896175531404,-0.012170524882660667,0.1168846086958159,0.11306700382065156
THE LITTLE PEASANT,-0.010670368356186835,0.22931390171675317,-0.2222122962866861,-0.101414672565563,0.05738892034363849
THE MISER IN THE BUSH,-0.04143547280816245,0.017022668027133512,-0.23407242766972236,0.2120028683653846,0.06847973671073129
"THE MOUSE, THE BIRD, AND THE SAUSAGE",0.08047650347910064,0.09805508161481459,-0.24985397928390465,-0.1695320732214551,0.03803389720939765
THE OLD MAN AND HIS GRANDSON,-0.027882189826240394,0.07243299230590342,-0.11839361738038966,-0.10173362774745286,0.026313740856832826
THE PINK,-0.22862548066530794,-0.14478503351238134,0.20663603151527754,-0.32554415627004385,-0.05988074417739103
THE QUEEN BEE,-0.12122684746235592,-0.09536866941218254,-0.06771074767005589,0.29917049708207283,0.49750219070738444
THE RAVEN,-0.13390651951106497,-0.011227504182892038,-0.13785047388440733,-0.020395812095969523,0.0962843684433787
THE ROBBER BRIDEGROOM,-0.07244987812493874,0.18880162203907158,-0.07928558897279653,-0.19921328797800922,-0.03259961123981312
THE SALAD,-0.0966997051847679,0.06733750939247861,-0.09851299438356285,-0.06450772811373923,0.1247751751269348
THE SEVEN RAVENS,-0.12295035955163021,0.008827985514815765,-0.04910093790193963,0.22661790390023376,0.4158034676576016
THE STORY OF THE YOUTH WHO WENT FORTH TO LEARN WHAT FEAR WAS,-0.1716749559406811,-0.006330466783283537,-0.03712805787814348,-0.20983525406995757,-0.012939333155193085
"THE STRAW, THE COAL, AND THE BEAN",0.003502203845140463,0.15775549977648573,-0.16282572709338908,-0.20049366675067415,0.057891084123792146
THE THREE LANGUAGES,-0.025402997091553695,-0.03525777560291721,-0.11792646764295145,-0.18865299982683884,0.008488111332750427
