doc_title,chunk_id,T0,T1,T2,T3,T4
ASHPUTTEL,0,0.008585362108307385,0.7462309172165413,0.008478346199126529,0.12077300149631232,0.1159323729797125
ASHPUTTEL,1,0.009441983076501865,0.009327851377650749,0.9625229017363285,0.009391419918124611,0.00931584389139431
ASHPUTTEL,2,0.008230849060931926,0.4533462434811205,0.5221136164609598,0.008125496583412037,0.008183794413575836
ASHPUTTEL,3,0.011220309425537194,0.9546711090803431,0.011569025725877256,0.0112679598526877,0.011271595915554756
ASHPUTTEL,4,0.016803802571331013,0.5249837125798543,0.017035148153967457,0.016808304248872065,0.4243690324459751
ASHPUTTEL,5,0.008889590718403385,0.008861230441688036,0.9646907337757986,0.00879422748852894,0.008764217575580982
ASHPUTTEL,6,0.009205467426232477,0.26618410346005267,0.7059389472330102,0.009314621288023158,0.009356860592681544
ASHPUTTEL,7,0.008849998980179285,0.008847386161330474,0.9647827414762786,0.008798608975621795,0.008721264406589761
ASHPUTTEL,8,0.008116776659195678,0.591643229895225,0.3839798050638546,0.008146791407785963,0.008113396973938636
ASHPUTTEL,9,0.00949332778200463,0.4829180944017803,0.3563323862390912,0.009302875998283647,0.14195331557884036
ASHPUTTEL,10,0.3265018125435282,0.17692545317421474,0.4776143110629775,0.009371970732030827,0.009586452487248596
ASHPUTTEL,11,0.008269833750976905,0.6456760528389212,0.3298526813354669,0.00811287428159868,0.00808855779303629
ASHPUTTEL,12,0.3110111779828041,0.5792760559274118,0.08933687893987659,0.010265717464551221,0.010110169685356444
ASHPUTTEL,13,0.008818025297222285,0.503386382623878,0.4701844434927886,0.008811446258728822,0.008799702327382305
ASHPUTTEL,14,0.1674938186686449,0.5417092372967433,0.00781636747933862,0.2750537518357609,0.007926824719512254
ASHPUTTEL,15,0.009227311002391806,0.16415328517296007,0.009187396535909763,0.8081580975507755,0.009273909737962816
ASHPUTTEL,16,0.007508690215959293,0.007483048920794168,0.007554568808726897,0.9699075013852534,0.007546190669266312
ASHPUTTEL,17,0.009156726086020807,0.16848873301194023,0.009173093852791935,0.8039154986089708,0.009265948440276235
ASHPUTTEL,18,0.010172847823542303,0.3250393051081878,0.010171039306820872,0.6441561516220137,0.010460656139435271
ASHPUTTEL,19,0.009268990361397484,0.00945830440129398,0.009219230029981897,0.9628810143494347,0.009172460857892003
BRIAR ROSE,0,0.07843903337343094,0.5372381144741365,0.006335444818287218,0.006335238361299732,0.3716521689728456
BRIAR ROSE,1,0.11761486405468398,0.6138961565924541,0.007564747856738236,0.0075088108275428575,0.2534154206685808
BRIAR ROSE,2,0.007039373127781781,0.6501498240070297,0.007015464504660294,0.006991649523177079,0.32880368883735095
BRIAR ROSE,3,0.008793403257761906,0.6627070238522568,0.008751761918402637,0.008732279975951308,0.3110155309956274
BRIAR ROSE,4,0.010778533293564142,0.6713914637083954,0.010676856978344095,0.010756198945328551,0.2963969470743678
BRIAR ROSE,5,0.45110273686320124,0.18135328891120472,0.007539363913508933,0.007550773151967722,0.3524538371601173
